"","school_group","school_name","grade","na_num","na_pct","aa_num","aa_pct","as_num","as_pct","hi_num","hi_pct","wh_num","wh_pct","pi_pct","blank_col","tot"
"367","High Schl","SOUTH HIGH 11","","25","5.7%","157","36.1%","20","4.6%","84","19.3%","149","34.3%","","0.0%","435"
"368","High Schl","SOUTH HIGH 12","","20","5.0%","171","42.3%","15","3.7%","73","18.1%","125","30.9%","","0.0%","404"
"369","","SOUTH HIGH Total","","115","6.6%","660","37.9%","63","3.6%","313","18.0%","589","33.8%","1","0.1%","1741"
"370","High Schl","SOUTHWEST HIGH 9","","7","1.3%","148","27.3%","26","4.8%","60","11.0%","300","55.2%","2","0.4%","543"
"371","High Schl","SOUTHWEST HIGH 10","","4","0.8%","142","29.0%","14","2.9%","60","12.2%","270","55.1%","","0.0%","490"
"372","High Schl","SOUTHWEST HIGH 11","","5","1.1%","135","30.5%","26","5.9%","34","7.7%","242","54.6%","1","0.2%","443"
"373","High Schl","SOUTHWEST HIGH 12","","2","0.4%","123","27.1%","29","6.4%","53","11.7%","245","54.0%","2","0.4%","454"
"374","","SOUTHWEST HIGH Total","","18","0.9%","548","28.4%","95","4.9%","207","10.7%","1057","54.8%","5","0.3%","1930"
"375","High Schl","WASHBURN HIGH 9","","3","0.7%","99","23.2%","18","4.2%","52","12.2%","253","59.4%","1","0.2%","426"
"376","High Schl","WASHBURN HIGH 10","","5","1.2%","91","21.6%","17","4.0%","65","15.4%","244","57.8%","","0.0%","422"
"377","High Schl","WASHBURN HIGH 11","","3","0.7%","78","19.4%","23","5.7%","88","21.8%","210","52.1%","1","0.2%","403"
"378","High Schl","WASHBURN HIGH 12","","8","2.1%","98","25.6%","12","3.1%","56","14.6%","209","54.6%","","0.0%","383"
"379","","WASHBURN HIGH Total","","19","1.2%","366","22.4%","70","4.3%","261","16.0%","916","56.1%","2","0.1%","1634"
"380","ALT HS","LONGFELLOW 8","","","0.0%","","0.0%","","0.0%","1","100.0%","","0.0%","","0.0%","1"
"381","ALT HS","LONGFELLOW 10","","","0.0%","1","33.3%","","0.0%","2","66.7%","","0.0%","","0.0%","3"
"382","ALT HS","LONGFELLOW 11","","2","28.6%","2","28.6%","1","14.3%","2","28.6%","","0.0%","","0.0%","7"
"383","ALT HS","LONGFELLOW 12","","7","10.3%","24","35.3%","1","1.5%","35","51.5%","1","1.5%","","0.0%","68"
"384","","LONGFELLOW Total","","9","11.4%","27","34.2%","2","2.5%","40","50.6%","1","1.3%","0","0.0%","79"
"385","ALT HS","MACC 11","","1","33.3%","2","66.7%","","0.0%","","0.0%","","0.0%","","0.0%","3"
"386","ALT HS","MACC 12","","2","6.1%","22","66.7%","2","6.1%","6","18.2%","1","3.0%","","0.0%","33"
"387","","MACC Total","","3","8.3%","24","66.7%","2","5.6%","6","16.7%","1","2.8%","0","0.0%","36"
"388","ALT HS","WELLSTONE 9","","","0.0%","9","33.3%","4","14.8%","14","51.9%","","0.0%","","0.0%","27"
"389","ALT HS","WELLSTONE 10","","","0.0%","18","46.2%","1","2.6%","20","51.3%","","0.0%","","0.0%","39"
"390","ALT HS","WELLSTONE 11","","","0.0%","42","51.2%","2","2.4%","35","42.7%","3","3.7%","","0.0%","82"
"391","ALT HS","WELLSTONE 12","","","0.0%","72","69.2%","1","1.0%","30","28.8%","1","1.0%","","0.0%","104"
"392","","WELLSTONE Total","","0","0.0%","141","56.0%","8","3.2%","99","39.3%","4","1.6%","0","0.0%","252"
"393","ALT HS","WELLSTONE SWS 11","","","0.0%","7","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","7"
"394","ALT HS","WELLSTONE SWS 12","","","0.0%","9","52.9%","","0.0%","8","47.1%","","0.0%","","0.0%","17"
"395","","WELLSTONE SWS Total","","0","0.0%","16","66.7%","0","0.0%","8","33.3%","0","0.0%","0","0.0%","24"
"396","Spec Ed","HARRISON SEC CTR 9","","2","33.3%","3","50.0%","","0.0%","","0.0%","1","16.7%","","0.0%","6"
"397","Spec Ed","HARRISON SEC CTR 10","","","0.0%","10","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","10"
"398","Spec Ed","HARRISON SEC CTR 11","","","0.0%","7","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","7"
"399","Spec Ed","HARRISON SEC CTR 12","","","0.0%","4","66.7%","","0.0%","1","16.7%","1","16.7%","","0.0%","6"
"400","","HARRISON SEC CTR Total","","2","6.9%","24","82.8%","0","0.0%","1","3.4%","2","6.9%","0","0.0%","29"
"401","Spec Ed","RIVER BEND ED CNT KG","","","0.0%","2","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","2"
"402","Spec Ed","RIVER BEND ED CNT 1","","","0.0%","3","60.0%","","0.0%","1","20.0%","1","20.0%","","0.0%","5"
"403","Spec Ed","RIVER BEND ED CNT 2","","","0.0%","2","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","2"
"404","Spec Ed","RIVER BEND ED CNT 3","","","0.0%","6","66.7%","","0.0%","1","11.1%","2","22.2%","","0.0%","9"
"405","Spec Ed","RIVER BEND ED CNT 4","","1","10.0%","7","70.0%","","0.0%","1","10.0%","1","10.0%","","0.0%","10"
"406","Spec Ed","RIVER BEND ED CNT 5","","1","5.6%","15","83.3%","","0.0%","1","5.6%","1","5.6%","","0.0%","18"
"407","Spec Ed","RIVER BEND ED CNT 6","","1","8.3%","9","75.0%","","0.0%","","0.0%","2","16.7%","","0.0%","12"
"408","Spec Ed","RIVER BEND ED CNT 7","","1","10.0%","8","80.0%","1","10.0%","","0.0%","","0.0%","","0.0%","10"
"409","Spec Ed","RIVER BEND ED CNT 8","","","0.0%","9","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","9"
"410","Spec Ed","RIVER BEND ED CNT 9","","1","25.0%","3","75.0%","","0.0%","","0.0%","","0.0%","","0.0%","4"
"411","Spec Ed","RIVER BEND ED CNT 10","","","0.0%","2","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","2"
"412","Spec Ed","RIVER BEND ED CNT 12","","","0.0%","2","66.7%","","0.0%","1","33.3%","","0.0%","","0.0%","3"
"413","","RIVER BEND ED CNT Total","","5","5.8%","68","79.1%","1","1.2%","5","5.8%","7","8.1%","0","0.0%","86"
"414","Spec Ed","TRANSITION PLUS 12","","11","4.0%","138","50.4%","9","3.3%","48","17.5%","68","24.8%","","0.0%","274"
"415","","TRANSITION PLUS Total","","11","4.0%","138","50.4%","9","3.3%","48","17.5%","68","24.8%","0","0.0%","274"
"416","Cont Alt","AMERICAN IND OIC 9","","4","80.0%","1","20.0%","","0.0%","","0.0%","","0.0%","","0.0%","5"
"417","Cont Alt","AMERICAN IND OIC 10","","4","66.7%","","0.0%","","0.0%","2","33.3%","","0.0%","","0.0%","6"
"418","Cont Alt","AMERICAN IND OIC 11","","6","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","","0.0%","6"
"419","Cont Alt","AMERICAN IND OIC 12","","16","84.2%","","0.0%","","0.0%","2","10.5%","1","5.3%","","0.0%","19"
"420","","AMERICAN IND OIC Total","","30","83.3%","1","2.8%","0","0.0%","4","11.1%","1","2.8%","0","0.0%","36"
"421","Cont Alt","CENTER SCHOOL 7","","1","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","","0.0%","1"
"422","Cont Alt","CENTER SCHOOL 8","","2","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","","0.0%","2"
"423","Cont Alt","CENTER SCHOOL 9","","8","88.9%","","0.0%","","0.0%","","0.0%","","0.0%","1","11.1%","9"
"424","Cont Alt","CENTER SCHOOL 10","","3","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","","0.0%","3"
"425","Cont Alt","CENTER SCHOOL 11","","11","91.7%","","0.0%","","0.0%","1","8.3%","","0.0%","","0.0%","12"
"426","Cont Alt","CENTER SCHOOL 12","","13","65.0%","1","5.0%","","0.0%","6","30.0%","","0.0%","","0.0%","20"
"427","","CENTER SCHOOL Total","","38","80.9%","1","2.1%","0","0.0%","7","14.9%","0","0.0%","1","2.1%","47"
"428","Cont Alt","LORING-NICOLLET 10","","1","20.0%","","0.0%","","0.0%","1","20.0%","3","60.0%","","0.0%","5"
"429","Cont Alt","LORING-NICOLLET 11","","","0.0%","3","18.8%","1","6.3%","2","12.5%","10","62.5%","","0.0%","16"
"430","Cont Alt","LORING-NICOLLET 12","","2","5.1%","13","33.3%","4","10.3%","7","17.9%","13","33.3%","","0.0%","39"
"431","","LORING-NICOLLET Total","","3","5.0%","16","26.7%","5","8.3%","10","16.7%","26","43.3%","0","0.0%","60"
"432","Cont Alt","MENLO PARK 9","","1","50.0%","","0.0%","","0.0%","","0.0%","1","50.0%","","0.0%","2"
"433","Cont Alt","MENLO PARK 10","","","0.0%","2","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","2"
"434","Cont Alt","MENLO PARK 11","","","0.0%","4","33.3%","","0.0%","2","16.7%","6","50.0%","","0.0%","12"
"435","Cont Alt","MENLO PARK 12","","8","13.1%","30","49.2%","2","3.3%","11","18.0%","10","16.4%","","0.0%","61"
"436","","MENLO PARK Total","","9","11.7%","36","46.8%","2","2.6%","13","16.9%","17","22.1%","0","0.0%","77"
"437","Cont Alt","MERC 9","","","0.0%","","0.0%","","0.0%","1","100.0%","","0.0%","","0.0%","1"
"438","Cont Alt","MERC 10","","","0.0%","4","66.7%","1","16.7%","","0.0%","1","16.7%","","0.0%","6"
"439","Cont Alt","MERC 11","","3","25.0%","3","25.0%","","0.0%","5","41.7%","1","8.3%","","0.0%","12"
"440","Cont Alt","MERC 12","","2","5.0%","14","35.0%","1","2.5%","13","32.5%","10","25.0%","","0.0%","40"
"441","","MERC Total","","5","8.5%","21","35.6%","2","3.4%","19","32.2%","12","20.3%","0","0.0%","59"
"442","Cont Alt","PLYMOUTH YTH CTR 9","","","0.0%","5","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","5"
"443","Cont Alt","PLYMOUTH YTH CTR 10","","","0.0%","7","87.5%","1","12.5%","","0.0%","","0.0%","","0.0%","8"
"444","Cont Alt","PLYMOUTH YTH CTR 11","","","0.0%","22","91.7%","1","4.2%","","0.0%","1","4.2%","","0.0%","24"
"445","Cont Alt","PLYMOUTH YTH CTR 12","","","0.0%","71","86.6%","5","6.1%","4","4.9%","2","2.4%","","0.0%","82"
"446","","PLYMOUTH YTH CTR Total","","0","0.0%","105","88.2%","7","5.9%","4","3.4%","3","2.5%","0","0.0%","119"
"447","Cont Alt","RON MCDONALD HOUSEKG","","","0.0%","2","66.7%","","0.0%","","0.0%","1","33.3%","","0.0%","3"
"448","Cont Alt","RON MCDONALD HOUSE 1","","","0.0%","","0.0%","","0.0%","","0.0%","1","100.0%","","0.0%","1"
"449","Cont Alt","RON MCDONALD HOUSE 3","","","0.0%","1","100.0%","","0.0%","","0.0%","","0.0%","","0.0%","1"
"450","Cont Alt","RON MCDONALD HOUSE 7","","","0.0%","","0.0%","","0.0%","","0.0%","1","100.0%","","0.0%","1"
"451","Cont Alt","RON MCDONALD HOUSE 11","","","0.0%","","0.0%","1","100.0%","","0.0%","","0.0%","","0.0%","1"
"452","","RON MCDONALD HOUSE Total","","0","0.0%","3","42.9%","1","14.3%","0","0.0%","3","42.9%","0","0.0%","7"
"453","Cont Alt","VOA PHOENIX 10","","2","50.0%","2","50.0%","","0.0%","","0.0%","","0.0%","","0.0%","4"
"454","Cont Alt","VOA PHOENIX 11","","","0.0%","14","73.7%","","0.0%","3","15.8%","2","10.5%","","0.0%","19"
"455","Cont Alt","VOA PHOENIX 12","","3","3.6%","37","44.0%","","0.0%","37","44.0%","7","8.3%","","0.0%","84"
"456","","VOA PHOENIX Total","","5","4.7%","53","49.5%","0","0.0%","40","37.4%","9","8.4%","0","0.0%","107"
"457","","Grand Total","","1194","3.5%","12847","37.3%","2000","5.8%","5954","17.3%","12391","36.0%","58","0.2%","34444"
