"","school_group","school_name","grade","na_num","na_pct","aa_num","aa_pct","as_num","as_pct","hi_num","hi_pct","wh_num","wh_pct","pi_pct","blank_col","tot"
"323","","NORTHEAST Total","","48","9.5%","219","43.5%","22","4.4%","98","19.5%","116","23.1%","0","0.0%","503"
"324","Mid Schl","OLSON","6","4","2.8%","93","65.5%","9","6.3%","16","11.3%","20","14.1%","","0.0%","142"
"325","Mid Schl","OLSON","7","4","3.4%","77","66.4%","10","8.6%","12","10.3%","13","11.2%","","0.0%","116"
"326","Mid Schl","OLSON","8","2","1.5%","82","62.1%","14","10.6%","19","14.4%","15","11.4%","","0.0%","132"
"327","","OLSON Total","","10","2.6%","252","64.6%","33","8.5%","47","12.1%","48","12.3%","0","0.0%","390"
"328","Mid Schl","SANFORD","6","22","7.1%","88","28.3%","13","4.2%","62","19.9%","126","40.5%","","0.0%","311"
"329","Mid Schl","SANFORD","7","19","5.8%","87","26.5%","11","3.4%","67","20.4%","143","43.6%","1","0.3%","328"
"330","Mid Schl","SANFORD","8","35","10.6%","93","28.1%","14","4.2%","55","16.6%","134","40.5%","","0.0%","331"
"331","","SANFORD Total","","76","7.8%","268","27.6%","38","3.9%","184","19.0%","403","41.5%","1","0.1%","970"
"332","High Schl","EDISON HIGH","9","8","3.3%","131","53.3%","16","6.5%","41","16.7%","50","20.3%","","0.0%","246"
"333","High Schl","EDISON HIGH","10","14","5.6%","145","57.5%","11","4.4%","33","13.1%","49","19.4%","","0.0%","252"
"334","High Schl","EDISON HIGH","11","8","3.1%","149","58.7%","10","3.9%","47","18.5%","40","15.7%","","0.0%","254"
"335","High Schl","EDISON HIGH","12","8","3.1%","144","56.0%","14","5.4%","46","17.9%","45","17.5%","","0.0%","257"
"336","","EDISON HIGH Total","","38","3.8%","569","56.4%","51","5.1%","167","16.6%","184","18.2%","0","0.0%","1009"
"337","High Schl","FAIR HIGH SCHOOL","9","4","5.2%","34","44.2%","5","6.5%","10","13.0%","24","31.2%","","0.0%","77"
"338","High Schl","FAIR HIGH SCHOOL","10","1","1.9%","26","49.1%","2","3.8%","9","17.0%","14","26.4%","1","1.9%","53"
"339","High Schl","FAIR HIGH SCHOOL","11","","0.0%","21","44.7%","","0.0%","9","19.1%","16","34.0%","1","2.1%","47"
